Name,Species,Amplitude,Frequency,Spectral_Desc_Mean,Spectral_Desc_Var,Spectral_Centroid,Audio
Trachypithecus,germaini,35.530067,5512,-30,6173,3953,sample_audios_xeno_canto\Trachypithecus.wav
Chorthippus,biguttulus,0.44753778,5512,-9,9357,5680,sample_audios_xeno_canto\Chorthippus.wav
Conocephalus,fuscus,2.1042438,5512,-8,11494,1761,sample_audios_xeno_canto\Conocephalus.wav
Hippopotamus,amphibius,1.3741623,5512,-10,8876,3994,sample_audios_xeno_canto\Hippopotamus.wav
Sundasciurus,juvencus,198.36757,5512,-15,1464,4598,sample_audios_xeno_canto\Sundasciurus.wav
Tupaia,palawanensis,2.3699856,5512,-13,2157,4407,sample_audios_xeno_canto\Tupaia.wav
Chrysochraon,dispar,0.034211125,5512,-18,10374,3320,sample_audios_xeno_canto\Chrysochraon.wav
Ephippiger,diurnus,0.39042053,5512,-43,14932,8008,sample_audios_xeno_canto\Ephippiger.wav
Stenobothrus,lineatus,0.012106591,5512,-47,15199,5620,sample_audios_xeno_canto\Stenobothrus.wav
Chorthippus,mollis,0.009843592,5512,-47,17562,5416,sample_audios_xeno_canto\Chorthippus.wav
Omocestus,rufipes,0.0057054856,5512,-48,19664,5104,sample_audios_xeno_canto\Omocestus.wav
Oecanthus,pellucens,0.6676615,5512,-42,15220,4359,sample_audios_xeno_canto\Oecanthus.wav
Pseudochorthippus,montanus,0.05006239,5512,-43,13745,5404,sample_audios_xeno_canto\Pseudochorthippus.wav
Chorthippus,albomarginatus,0.016092412,5512,-47,15364,5234,sample_audios_xeno_canto\Chorthippus.wav
Chorthippus,dorsatus,0.0028718824,5512,-50,26875,5520,sample_audios_xeno_canto\Chorthippus.wav
Chorthippus,vagans,0.0026139675,5512,-50,26336,5691,sample_audios_xeno_canto\Chorthippus.wav
Omocestus,viridulus,0.009690157,5512,-49,23233,6750,sample_audios_xeno_canto\Omocestus.wav
Acheta,domesticus,1.183499,5512,-11,17746,4218,sample_audios_xeno_canto\Acheta.wav
Callosciurus,erythraeus,13.769652,5512,-9,8809,2168,sample_audios_xeno_canto\Callosciurus.wav
Mops,sarasinorum,6.8921075,5512,-12,5427,7314,sample_audios_xeno_canto\Mops.wav
Hyloscirtus,platydactylus,72.15161,5512,-15,3437,3878,sample_audios_xeno_canto\Hyloscirtus.wav
Tragelaphus,strepsiceros,0.049361203,5512,-15,11331,3093,sample_audios_xeno_canto\Tragelaphus.wav
Decticus,verrucivorus,0.005274807,5512,-48,19828,6568,sample_audios_xeno_canto\Decticus.wav
Artibeus,jamaicensis,0.29307324,5512,-25,16254,5726,sample_audios_xeno_canto\Artibeus.wav
Carollia,castanea,0.29479137,5512,-25,13373,5216,sample_audios_xeno_canto\Carollia.wav
Carollia,perspicillata,0.28919196,5512,-25,15418,5387,sample_audios_xeno_canto\Carollia.wav
Dermanura,watsoni,0.29792735,5512,-25,16410,5576,sample_audios_xeno_canto\Dermanura.wav
Glossophaga,soricina,0.2859125,5512,-25,17040,4702,sample_audios_xeno_canto\Glossophaga.wav
Micronycteris,microtis,0.4565953,5512,-25,17339,4914,sample_audios_xeno_canto\Micronycteris.wav
Vampyressa,thyone,0.30059692,5512,-25,14698,6211,sample_audios_xeno_canto\Vampyressa.wav
Artibeus,lituratus,0.2934414,5512,-25,17258,6054,sample_audios_xeno_canto\Artibeus.wav
Eptesicus,brasiliensis,0.31021723,5512,-24,13541,4867,sample_audios_xeno_canto\Eptesicus.wav
Lophostoma,silvicola,0.31729203,5512,-25,17386,5259,sample_audios_xeno_canto\Lophostoma.wav
Micronycteris,minuta,0.98461586,5512,-22,10376,4568,sample_audios_xeno_canto\Micronycteris.wav
Myotis,riparius,0.3057822,5512,-25,16683,4991,sample_audios_xeno_canto\Myotis.wav
Phyllostomus,discolor,0.31055036,5512,-25,18331,4992,sample_audios_xeno_canto\Phyllostomus.wav
Platyrrhinus,helleri,0.21999148,5512,-25,16461,5348,sample_audios_xeno_canto\Platyrrhinus.wav
Pteronotus,mesoamericanus,0.29866222,5512,-24,14818,6070,sample_audios_xeno_canto\Pteronotus.wav
Uroderma,convexum,0.31185254,5512,-26,17464,5110,sample_audios_xeno_canto\Uroderma.wav
Axis,axis,0.14558102,5512,-31,7313,5258,sample_audios_xeno_canto\Axis.wav
Funambulus,palmarum,185.46555,5512,-26,6842,5612,sample_audios_xeno_canto\Funambulus.wav
Barbastella,barbastellus,0.0025076373,5512,-38,17948,7509,sample_audios_xeno_canto\Barbastella.wav
Crinia,signifera,26.500208,5512,-8,7933,3608,sample_audios_xeno_canto\Crinia.wav
Leptodactylus,longirostris,10.921043,5512,-19,3586,3300,sample_audios_xeno_canto\Leptodactylus.wav
Gryllus,campestris,1.4564391,5512,-9,7920,4000,sample_audios_xeno_canto\Gryllus.wav
Gryllotalpa,gryllotalpa,0.32183546,5512,-9,6558,3383,sample_audios_xeno_canto\Gryllotalpa.wav
Brachycephalus,rotenbergae,4.118902,5512,-29,5695,4669,sample_audios_xeno_canto\Brachycephalus.wav
Callosciurus,caniceps,6.918323,5512,-15,6117,3799,sample_audios_xeno_canto\Callosciurus.wav
Dremomys,rufigenis,6.3103013,5512,-19,5793,3683,sample_audios_xeno_canto\Dremomys.wav
Presbytis,femoralis,3.8363714,5512,-13,8304,4982,sample_audios_xeno_canto\Presbytis.wav
Pholidoptera,frivaldszkyi,3.1728933,5512,-16,11785,8776,sample_audios_xeno_canto\Pholidoptera.wav
Myocastor,coypus,1.4637297,5512,-23,4361,2395,sample_audios_xeno_canto\Myocastor.wav
Natula,matsuurai,297.911,5512,-10,3621,4115,sample_audios_xeno_canto\Natula.wav
Presbytis,siamensis,1.1136751,5512,-20,4543,5589,sample_audios_xeno_canto\Presbytis.wav
Barbaragraecia,richardsoni,15.151161,5512,-27,6734,8167,sample_audios_xeno_canto\Barbaragraecia.wav
Dendrohyrax,dorsalis,467.5301,5512,-12,5265,3151,sample_audios_xeno_canto\Dendrohyrax.wav
Colobus,guereza,13.9118185,5512,-7,2754,2526,sample_audios_xeno_canto\Colobus.wav
Pan,troglodytes,309.71252,5512,-6,4187,3496,sample_audios_xeno_canto\Pan.wav
Hypsignathus,monstrosus,82.98209,5512,-8,3120,3147,sample_audios_xeno_canto\Hypsignathus.wav
Alces,alces,0.6803888,5512,-14,9731,3708,sample_audios_xeno_canto\Alces.wav
Tamiasciurus,hudsonicus,46.00345,5512,-10,615,5139,sample_audios_xeno_canto\Tamiasciurus.wav
Dendrohyrax,arboreus,17.273397,5512,-4,5189,3495,sample_audios_xeno_canto\Dendrohyrax.wav
Leptodactylus,gracilis,21.374977,5512,-11,9647,4028,sample_audios_xeno_canto\Leptodactylus.wav
Aplastodiscus,albosignatus,580.11395,5512,-12,3419,4479,sample_audios_xeno_canto\Aplastodiscus.wav
Ursus,arctos,0.026978474,5512,-23,21323,3297,sample_audios_xeno_canto\Ursus.wav
Eulemur,sanfordi,16.52005,5512,-29,5656,4579,sample_audios_xeno_canto\Eulemur.wav
Lutra,lutra,0.008698179,5512,-18,13009,2643,sample_audios_xeno_canto\Lutra.wav
Panthera,leo,156.98074,5512,-1,7391,1003,sample_audios_xeno_canto\Panthera.wav
